ranking,world_rank,universities,website,presence_rank,impact_rank,openness_rank,excellence_rank,motto,established,type,chancellor,vice_chancellor,students,undergraduates,postgraduates,academic_staff,administrative_staff,city,state,campus
1,1322,University of Ibadan,https://www.ui.edu.ng/,2113,2088,1057,1561,"""''Recte Sapere Fons''"" (To think straight is the fount of knowledge).",{{start date and age|1948}},[[public university|Public]],"[[Sa'adu Abubakar|Saad Abubakar]], [[Sultan of Sokoto]]",Professor [[Kayode Adebowale ]],"41,743",,,,,[[Ibadan]],[[Oyo State|Oyo]],
2,1742,Covenant University Ota,http://covenantuniversity.edu.ng/,1169,3884,1356,1797,''Raising a New Generation of Leaders'',21 October 2002,Private,[[David Oyedepo]],[[Abiodun H. Adebayo]],,,,,,"[[Ota, Ogun State]]",,Urban
3,1805,University of Nigeria,http://www.unn.edu.ng/,1311,3279,1038,2243,''To Restore the Dignity of Man'',1955,[[public university|Public]],,[[Charles Igwe Arizechukwu]],"36,000",,,,,[[Nsukka]],[[Enugu state|Enugu]],Rural<br /> {{convert|871|ha|acre}} (Nsukka campus)<br />Urban<br /> {{convert|200|ha|acre}} (Enugu campus)<br/> {{convert|500|ha|acre}} (Ituku-Ozalla campus)
4,1984,University of Lagos,https://unilag.edu.ng/,161,4143,1521,2312,In deed and in truth,1962,[[Public university|Public]] [[research university]],"Alhaji (Dr.) Abubakar IBN Umar Garbai El-Kanemi, The Shehu of Borno",[[Oluwatoyin Ogundipe|Prof. Oluwatoyin Ogundipe]],"55,000 (2017)","43,784 (2017)","9,070 (2017)","1,736 (2017)",552 (2017),[[Lagos]],,Urban
5,2053,Obafemi Awolowo University,http://oauife.edu.ng/,2916,4560,1616,2025,For Learning and Culture,1961,[[public university|Public]],Etsu [[Yahaya Abubakar]],[[Adebayo Simeon Bamire]],"about 35,000","13,000",7500,,,[[Ile-Ife]],[[Osun State|Osun]],Urban {{convert|2020|ha|acre}}
6,2378,Ahmadu Bello University,https://abu.edu.ng/,1919,5758,1945,2218,,4 October 1962,"[[Public University|Public]], [[Research university|research]]","''Igwe'' [[Nnaemeka Alfred Ugochukwu Achebe|Nnaemeka Alfred Achebe]], ''[[Obi of Onitsha]]''.",Professor [[Kabir Bala]],,,,,,[[Zaria]],[[Kaduna State]],[[urban area|Urban]]
7,2588,University of Ilorin,http://www.unilorin.edu.ng/,3657,6212,1245,2623,''Probitas Doctrina: Better by far.'',1975,Public,[[Abdulmumini Kabir Usman]],[[Sulyman Age Abdulkareem]],"50,000",,,,,[[Ilorin]],[[Kwara State]],Urban
8,2705,Federal University of Technology Akure,http://www.futa.edu.ng/,1475,8018,1610,2405,''Technology for Self Reliance'',1981,[[Public university|Public]],"Alhaji (Dr.) Umar Faruk II, the Emir of Katagum",[[Adenike Oladiji]],"15,000","13,000","2,000",,300,"[[Akure, Ondo State]]",,"Obanla, Obakekere and Centre for Entrepreneurship, Ibule + Expanse of land on Owo-Benin Road"
9,2819,University of Port Harcourt,https://www.uniport.edu.ng/,449,4741,1840,3600,For Enlightenment and Self-Reliance,1975,Public,,[[Prof. Owunari Georgewill]],"35,000-39,999",,,,,[[Port Harcourt]],[[Rivers State]],[[urban area|Urban]]
10,3126,Adekunle Ajasin University,https://aaua.edu.ng/,12858,1272,3900,4673,For Learning and Service,December 1999,Public,,Olugbenga E. Ige,"over 20,000",,,,,[[Akungba Akoko|Akungba-Akoko]],[[Ondo State]],
